                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5778,                 4.9925,                 4.0964,                0.00026,                0.10206,                0.00018,                  3e-05,                    nan,                    nan,                    nan,             0.00047007,             0.00047007,             0.00047007
                      2,                 3.0558,                  3.974,                 3.6092,                0.00143,                0.45021,                0.00163,                0.00062,                    nan,                    nan,                    nan,             0.00093703,             0.00093703,             0.00093703
                      3,                 2.6705,                 3.4117,                  3.161,                0.73536,                0.16352,                0.11729,                0.04147,                    nan,                    nan,                    nan,              0.0013946,              0.0013946,              0.0013946
                      4,                 2.4737,                 3.1454,                 2.9733,                0.05731,                0.32947,                0.04324,                0.01365,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.3859,                 2.8356,                  2.844,                0.10609,                 0.5008,                0.12527,                0.03252,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.2708,                 2.7361,                 2.7704,                0.73954,                0.13836,                0.15258,                0.05752,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.1177,                 2.3747,                 2.6572,                 0.3334,                 0.3988,                0.34014,                0.13625,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.9757,                 2.1404,                 2.5545,                 0.3703,                0.51504,                0.42191,                0.20795,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.8627,                 1.9358,                 2.4455,                 0.4886,                0.27068,                0.33722,                0.13685,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                     10,                 1.7869,                 1.8113,                 2.3517,                0.30165,                  0.459,                0.35027,                0.15782,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.6706,                 1.7303,                 2.2489,                0.61462,                0.81485,                0.84498,                 0.5286,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.5772,                 1.5742,                 2.1543,                0.73014,                0.84936,                0.87732,                0.57515,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.4873,                 1.4905,                 2.1111,                0.41633,                0.75461,                0.65458,                0.40393,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.4652,                 1.4545,                 2.0561,                0.38647,                0.61537,                 0.5257,                0.29367,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.4135,                 1.4276,                 1.9943,                0.86918,                0.88752,                0.93216,                0.62821,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.3426,                 1.3096,                 1.9451,                0.74265,                0.84033,                0.92054,                0.61937,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.2751,                 1.2599,                 1.8727,                0.85072,                0.91694,                0.94513,                0.68886,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.2717,                 1.2314,                 1.8613,                 0.5285,                 0.6193,                0.58043,                0.39428,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.2326,                 1.1908,                 1.8051,                0.92592,                0.96067,                0.95952,                0.75093,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.2566,                 1.1708,                 1.8085,                0.88759,                0.94313,                0.95138,                0.69978,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.2015,                 1.1328,                 1.7466,                  0.963,                  0.928,                0.97609,                0.73368,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     22,                  1.147,                 1.0753,                 1.6971,                0.88814,                0.19182,                0.32049,                0.19547,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.1557,                 1.0853,                 1.7139,                0.92889,                0.90437,                0.96401,                0.74812,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     24,                  1.124,                 1.0688,                 1.6578,                0.68681,                0.89776,                0.92171,                0.69216,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.1263,                 1.0463,                 1.6621,                0.91187,                0.88193,                  0.961,                0.74227,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.0805,                   1.01,                 1.6274,                0.93759,                0.93516,                0.97482,                0.77005,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     27,                  1.082,                 1.0116,                 1.6235,                0.81273,                0.89165,                 0.9271,                0.73634,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.0472,                0.98469,                 1.5778,                0.75315,                0.90383,                0.93488,                0.73404,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.0501,                 0.9787,                 1.5845,                0.96311,                0.95669,                0.98533,                0.80018,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                     30,                 1.0076,                0.93973,                  1.538,                0.96609,                0.94156,                0.97234,                0.76477,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.0008,                0.96497,                 1.5349,                 0.6578,                0.54036,                0.75884,                0.56521,                    nan,                    nan,                    nan,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.0165,                0.93182,                 1.5396,                0.95933,                0.94792,                0.98334,                0.78557,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     33,                0.97422,                0.93709,                 1.5068,                0.92162,                0.94059,                0.97304,                0.79297,                    nan,                    nan,                    nan,             0.00099044,             0.00099044,             0.00099044
                     34,                0.95446,                0.91923,                 1.4961,                0.92736,                0.94026,                0.98166,                0.82797,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     35,                0.96263,                0.89759,                 1.4839,                0.45161,                0.77974,                0.62644,                0.48202,                    nan,                    nan,                    nan,             0.00096215,             0.00096215,             0.00096215
                     36,                0.95255,                0.89161,                 1.4694,                0.69027,                0.84593,                0.83752,                 0.6833,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     37,                0.93259,                0.89684,                 1.4675,                0.96192,                0.97759,                0.98615,                0.81142,                    nan,                    nan,                    nan,             0.00093385,             0.00093385,             0.00093385
                     38,                0.94584,                0.87866,                 1.4747,                0.94207,                0.94319,                0.98439,                0.81665,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     39,                0.94982,                0.89856,                 1.4714,                0.94418,                0.97116,                0.98506,                0.80683,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     40,                0.87617,                0.83837,                 1.4212,                0.78405,                0.92715,                 0.9425,                0.78687,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     41,                0.89187,                 0.8417,                 1.4279,                0.97012,                0.94181,                0.98326,                0.83834,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     42,                0.86127,                0.81222,                 1.4073,                0.94517,                0.95646,                0.97921,                0.83794,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     43,                0.85631,                0.81791,                 1.3876,                0.96225,                 0.9869,                0.98258,                0.84749,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     44,                0.84799,                0.81995,                 1.3858,                0.97109,                0.97606,                0.98209,                0.83713,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     45,                0.83577,                 0.7786,                 1.3773,                0.94271,                0.97728,                0.98313,                 0.8177,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     46,                0.84495,                0.80866,                 1.3708,                0.97138,                0.96123,                0.98439,                 0.8628,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     47,                0.81137,                0.76489,                 1.3326,                0.76165,                0.94018,                0.88559,                0.75909,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     48,                0.79857,                0.76204,                 1.3483,                 0.9159,                0.93801,                 0.9553,                0.84146,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     49,                0.83013,                0.79833,                 1.3599,                0.96171,                0.97933,                0.98597,                0.84093,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     50,                0.79371,                0.74564,                 1.3212,                0.96814,                0.98937,                0.98907,                0.85027,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     51,                0.82373,                0.76384,                 1.3491,                0.93475,                0.96963,                0.97697,                 0.8475,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     52,                0.81055,                0.75308,                 1.3362,                0.98827,                0.98326,                0.99095,                0.87896,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     53,                0.77014,                0.75298,                 1.3167,                0.96866,                 0.9817,                0.98891,                0.86907,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     54,                0.77932,                0.73952,                 1.3066,                0.93258,                0.96727,                0.98811,                0.88981,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     55,                0.78449,                0.75672,                 1.3096,                0.96618,                0.99192,                0.98946,                0.87251,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     56,                0.76222,                0.71135,                  1.296,                0.98143,                0.98277,                0.99112,                0.87825,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     57,                0.75634,                0.72282,                 1.2866,                0.78639,                0.95235,                0.87149,                0.76775,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     58,                0.73987,                0.69388,                  1.277,                0.98642,                0.98049,                0.99173,                0.88674,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     59,                0.70889,                0.68496,                 1.2654,                0.94066,                0.95418,                0.98069,                0.88474,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     60,                0.74776,                0.73133,                  1.288,                0.73534,                0.87287,                0.81036,                0.72456,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     61,                0.72048,                0.68865,                 1.2833,                0.98128,                0.98432,                0.99066,                0.90682,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     62,                0.71172,                0.70153,                 1.2606,                0.97925,                0.98091,                0.99077,                0.91033,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     63,                0.70353,                0.68757,                 1.2565,                0.97822,                0.97745,                0.99076,                0.89691,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     64,                0.70989,                0.66834,                 1.2462,                0.94887,                0.93445,                0.97603,                0.87337,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     65,                0.68667,                0.67085,                 1.2449,                0.98592,                0.98846,                0.98922,                0.90984,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     66,                0.71126,                0.68323,                 1.2582,                0.97326,                0.98347,                 0.9903,                0.88996,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     67,                 0.6858,                0.66411,                 1.2406,                0.89037,                0.95092,                0.98084,                0.88639,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     68,                0.67704,                0.63652,                 1.2257,                 0.9743,                0.98179,                0.99031,                0.91576,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     69,                0.66848,                0.63023,                 1.2184,                0.99147,                0.98063,                0.99126,                0.91025,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     70,                0.65883,                  0.644,                  1.214,                0.97216,                0.99621,                0.98922,                0.91823,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     71,                0.65002,                0.63015,                 1.2155,                0.95549,                0.96937,                0.98156,                0.89486,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     72,                0.66331,                0.64576,                 1.2205,                0.78921,                 0.9348,                0.88371,                0.78717,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     73,                0.64938,                0.63097,                 1.2047,                 0.9827,                0.99328,                0.99252,                0.91868,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     74,                0.64845,                 0.6232,                 1.2058,                0.96698,                0.98223,                0.98734,                0.92531,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     75,                 0.6389,                0.61699,                 1.1944,                0.96357,                0.96817,                0.98518,                0.90442,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.6375,                0.61888,                 1.2114,                0.97623,                0.99333,                0.99069,                0.92621,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     77,                0.62896,                0.62249,                 1.1827,                0.97743,                0.99196,                0.99127,                 0.9296,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     78,                0.62409,                0.61677,                 1.1824,                0.98537,                0.99237,                0.99231,                0.93877,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     79,                0.63587,                0.60218,                  1.186,                0.96134,                0.98836,                0.98953,                0.91218,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     80,                0.61997,                0.60413,                  1.184,                0.98295,                0.98928,                0.99081,                0.92533,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     81,                0.60756,                0.59631,                 1.1674,                0.91066,                0.96641,                0.98057,                0.91246,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     82,                0.63331,                0.60576,                 1.1826,                0.98684,                0.99033,                0.99189,                0.92506,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     83,                0.61448,                0.60107,                  1.181,                0.97954,                0.97052,                0.99126,                0.93506,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     84,                 0.5948,                0.57208,                 1.1655,                0.98749,                0.99089,                0.99215,                0.94466,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     85,                0.60096,                0.58167,                   1.17,                0.99233,                0.99104,                0.99183,                0.94473,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     86,                0.57537,                0.57236,                 1.1467,                0.99008,                0.98926,                0.99214,                0.94482,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     87,                  0.588,                0.57687,                 1.1539,                0.96038,                0.96933,                0.99011,                0.93742,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     88,                0.57783,                0.56078,                 1.1517,                0.99158,                0.99305,                0.99219,                0.94963,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     89,                0.58514,                0.57071,                 1.1523,                0.99048,                0.99175,                0.99253,                0.95075,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     90,                0.56427,                0.56586,                 1.1509,                0.96158,                0.97189,                0.98894,                0.93797,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     91,                0.44664,                  0.398,                 1.0541,                0.98822,                0.99309,                0.99121,                0.94978,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     92,                0.43274,                0.37285,                 1.0341,                0.98372,                 0.9887,                0.99181,                0.95206,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     93,                0.42376,                0.35846,                 1.0471,                0.96517,                0.97965,                0.99239,                0.95353,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     94,                0.41715,                 0.3661,                 1.0205,                0.98163,                0.99474,                0.99206,                 0.9582,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     95,                 0.4051,                0.35723,                 1.0142,                0.97872,                0.99489,                0.99228,                0.95853,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     96,                0.39666,                0.34355,                 1.0125,                0.98049,                0.99621,                0.99248,                0.95292,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.38571,                0.34078,                 1.0026,                0.98887,                 0.9922,                0.99253,                0.96004,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.39161,                0.34403,                0.99661,                0.98727,                0.99143,                0.99277,                0.96244,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.37902,                0.33653,                0.98894,                0.98584,                0.99344,                 0.9927,                0.96293,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.37952,                0.34172,                0.99461,                0.98433,                0.98937,                0.99261,                0.96008,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
